filename;stationsname;geopos;gemeinde;plz;anzahl_bikes;join_key
2023-05-09T03:26:00+00:00;Friedbühlstrasse;46.94802, 7.42189;0351;3008;0;2023-05-09T05:26:00+02:00-Friedbühlstrasse
2023-04-30T20:36:00+00:00;Rosengarten Ost;46.95207, 7.46158;0351;3013;0;2023-04-30T22:36:00+02:00-Rosengarten Ost
2023-05-11T18:26:00+00:00;Statthalterstrasse;46.93936, 7.38638;0351;3018;0;2023-05-11T20:26:00+02:00-Statthalterstrasse
2023-05-09T03:26:00+00:00;Markuskirche;46.96352, 7.45551;0351;3014;0;2023-05-09T05:26:00+02:00-Markuskirche
2023-04-30T20:36:00+00:00;SBB Hilfikerstrasse;46.96845, 7.46241;0351;3014;0;2023-04-30T22:36:00+02:00-SBB Hilfikerstrasse
2023-05-11T18:26:00+00:00;Casinoplatz;46.94652, 7.44814;0351;3011;0;2023-05-11T20:26:00+02:00-Casinoplatz
2023-05-09T03:26:00+00:00;Hallenbad Hirschengraben;46.94654, 7.43566;0351;3011;0;2023-05-09T05:26:00+02:00-Hallenbad Hirschengraben
2023-04-30T20:36:00+00:00;Monbijoustrasse;46.94104, 7.43591;0351;3007;11;2023-04-30T22:36:00+02:00-Monbijoustrasse
2023-05-11T18:26:00+00:00;Bethlehemstrasse Säge;46.94707, 7.39576;0351;3027;3;2023-05-11T20:26:00+02:00-Bethlehemstrasse Säge
2023-05-09T03:26:00+00:00;Breitenrainstrasse;46.9572, 7.45089;0351;3013;7;2023-05-09T05:26:00+02:00-Breitenrainstrasse
2023-04-30T20:46:00+00:00;Bahnhof Bümpliz Süd;46.9379, 7.39547;0351;3018;0;2023-04-30T22:46:00+02:00-Bahnhof Bümpliz Süd
2023-05-11T18:26:00+00:00;Holenacker Station;46.94862, 7.38275;0351;3027;1;2023-05-11T20:26:00+02:00-Holenacker Station
2023-05-09T03:26:00+00:00;Theaterplatz;46.9476, 7.44735;0351;3011;3;2023-05-09T05:26:00+02:00-Theaterplatz
2023-04-30T20:46:00+00:00;Elfenau;46.93344, 7.46646;0351;3006;0;2023-04-30T22:46:00+02:00-Elfenau
2023-05-11T18:26:00+00:00;Bahnhofplatz Mobile Station Bern 4;46.94832, 7.44034;0351;3011;6;2023-05-11T20:26:00+02:00-Bahnhofplatz Mobile Station Bern 4
2023-05-09T03:26:00+00:00;Brühlplatz;46.9262, 7.41723;0355;3098;0;2023-05-09T05:26:00+02:00-Brühlplatz
2023-04-30T20:46:00+00:00;Beaumontweg;46.93909, 7.42864;0351;3007;0;2023-04-30T22:46:00+02:00-Beaumontweg
2023-05-11T18:26:00+00:00;Egelgasse-Ostring;46.94381, 7.46942;0351;3006;0;2023-05-11T20:26:00+02:00-Egelgasse-Ostring
2023-05-09T03:26:00+00:00;Kapellenstrasse BFF;46.94423, 7.43667;0351;3011;6;2023-05-09T05:26:00+02:00-Kapellenstrasse BFF
2023-04-30T20:46:00+00:00;Falkenplatz;46.95155, 7.43454;0351;3012;0;2023-04-30T22:46:00+02:00-Falkenplatz
2023-05-11T18:26:00+00:00;Neufeldstrasse Ost;46.95815, 7.43499;0351;3012;1;2023-05-11T20:26:00+02:00-Neufeldstrasse Ost
2023-05-09T03:26:00+00:00;Wabern Bahnhof;46.92886, 7.4464;0355;3084;1;2023-05-09T05:26:00+02:00-Wabern Bahnhof
2023-04-30T20:46:00+00:00;Brünnenstrasse;46.94279, 7.38707;0351;3018;2;2023-04-30T22:46:00+02:00-Brünnenstrasse
2023-05-11T18:26:00+00:00;Spital Tiefenau;46.97484, 7.45327;0351;3004;3;2023-05-11T20:26:00+02:00-Spital Tiefenau
2023-05-09T03:26:00+00:00;Wankdorf Sporthalle;46.96448, 7.46694;0351;3014;1;2023-05-09T05:26:00+02:00-Wankdorf Sporthalle
